List;ItemID;Condition;Group;Type;Narrative;EventQuestion;NaturalnessQuestion;CompQuestion;CompAnswer
A;N01;SEM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N02;COM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N03;SEM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N04;COM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N05;SEM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N06;COM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N07;SEM_FRONTEIRA;G3;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N08;COM_FRONTEIRA;G4;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N09;SEM_FRONTEIRA;G1;main;A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N10;COM_FRONTEIRA;G2;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N11;SEM_FRONTEIRA;G3;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N12;COM_FRONTEIRA;G4;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N13;SEM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N14;COM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N15;SEM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N16;COM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N17;SEM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N18;COM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N19;SEM_FRONTEIRA;G3;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N20;COM_FRONTEIRA;G4;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N21;SEM_FRONTEIRA;G1;main;A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N22;COM_FRONTEIRA;G2;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N23;SEM_FRONTEIRA;G3;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N24;COM_FRONTEIRA;G4;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N25;SEM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, observou a lâmina, registrou os dados e guardou o material.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N26;COM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, em outro projeto viajou para uma feira, assistiu a palestras e comprou ferramentas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N27;SEM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, revisou o conteúdo, enviou o arquivo e testou o projetor.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N28;COM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N29;SEM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;N30;COM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F01;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F02;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F03;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F04;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F05;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F06;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F07;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F08;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F09;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;F10;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
A;C01;CHECK;G2;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
A;C02;CHECK;G3;check;A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.;;;A atleta praticou natação na narrativa?;N
A;C03;CHECK;G1;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
A;C04;CHECK;G2;check;A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.;;;A atleta praticou natação na narrativa?;N
A;C05;CHECK;G3;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
B;N01;COM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N02;SEM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N03;COM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N04;SEM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, disparou a foto, conferiu o visor e salvou no cartão.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N05;COM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, em outra frente organizou uma viagem, comprou passagens e fez as malas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N06;SEM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, rodou testes, validou logs e abriu o monitoramento.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N07;COM_FRONTEIRA;G3;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N08;SEM_FRONTEIRA;G4;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N09;COM_FRONTEIRA;G1;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N10;SEM_FRONTEIRA;G2;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, disparou a foto, conferiu o visor e salvou no cartão.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N11;COM_FRONTEIRA;G3;main;A redatora abriu o documento, esboçou o título, criou a estrutura, em outra frente organizou uma viagem, comprou passagens e fez as malas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N12;SEM_FRONTEIRA;G4;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, rodou testes, validou logs e abriu o monitoramento.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N13;COM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N14;SEM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N15;COM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N16;SEM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, disparou a foto, conferiu o visor e salvou no cartão.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N17;COM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, em outra frente organizou uma viagem, comprou passagens e fez as malas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N18;SEM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, rodou testes, validou logs e abriu o monitoramento.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N19;COM_FRONTEIRA;G3;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N20;SEM_FRONTEIRA;G4;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N21;COM_FRONTEIRA;G1;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N22;SEM_FRONTEIRA;G2;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, disparou a foto, conferiu o visor e salvou no cartão.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N23;COM_FRONTEIRA;G3;main;A redatora abriu o documento, esboçou o título, criou a estrutura, em outra frente organizou uma viagem, comprou passagens e fez as malas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N24;SEM_FRONTEIRA;G4;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, rodou testes, validou logs e abriu o monitoramento.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N25;COM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N26;SEM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N27;COM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N28;SEM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, disparou a foto, conferiu o visor e salvou no cartão.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N29;COM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, em outra frente organizou uma viagem, comprou passagens e fez as malas.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;N30;SEM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, rodou testes, validou logs e abriu o monitoramento.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F01;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F02;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F03;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F04;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F05;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F06;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F07;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F08;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F09;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;F10;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
B;C01;CHECK;G2;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
B;C02;CHECK;G3;check;A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.;;;A atleta praticou natação na narrativa?;N
B;C03;CHECK;G1;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
B;C04;CHECK;G2;check;A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.;;;A atleta praticou natação na narrativa?;N
